geo,map
http://www.wikidata.org/entity/Q1008564,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis14.map
http://www.wikidata.org/entity/Q1008012,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis140.map
http://www.wikidata.org/entity/Q1008092,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis143.map
http://www.wikidata.org/entity/Q993085,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis147.map
http://www.wikidata.org/entity/Q1008651,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis15.map
http://www.wikidata.org/entity/Q1008099,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis160.map
http://www.wikidata.org/entity/Q1008752,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis165.map
http://www.wikidata.org/entity/Q1008244,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis18.map
http://www.wikidata.org/entity/Q1007925,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis198.map
http://www.wikidata.org/entity/Q1008436,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis221.map
http://www.wikidata.org/entity/Q1008707,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis226.map
http://www.wikidata.org/entity/Q1007957,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis236.map
http://www.wikidata.org/entity/Q1008199,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis243.map
http://www.wikidata.org/entity/Q1008478,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis245.map
http://www.wikidata.org/entity/Q1008571,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis246.map
http://www.wikidata.org/entity/Q1007938,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis247.map
http://www.wikidata.org/entity/Q1008744,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis251.map
http://www.wikidata.org/entity/Q1008650,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis258.map
http://www.wikidata.org/entity/Q1008448,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis266.map
http://www.wikidata.org/entity/Q1007950,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis269.map
http://www.wikidata.org/entity/Q1008310,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis271.map
http://www.wikidata.org/entity/Q1008181,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis281.map
http://www.wikidata.org/entity/Q1008694,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis288.map
http://www.wikidata.org/entity/Q1008069,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis29.map
http://www.wikidata.org/entity/Q1008004,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis292.map
http://www.wikidata.org/entity/Q1008287,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis299.map
http://www.wikidata.org/entity/Q1008052,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis32.map
http://www.wikidata.org/entity/Q1008629,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis39.map
http://www.wikidata.org/entity/Q1008217,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis53.map
http://www.wikidata.org/entity/Q1008070,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis62.map
http://www.wikidata.org/entity/Q1008173,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis63.map
http://www.wikidata.org/entity/Q1008517,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis7.map
http://www.wikidata.org/entity/Q1007990,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis76.map
http://www.wikidata.org/entity/Q1007997,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis81.map
http://www.wikidata.org/entity/Q1008340,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis95.map
http://www.wikidata.org/entity/Q1516274,http://commons.wikimedia.org/data/main/Data:Avignon+Ancient+Medieval+Wall.map
http://www.wikidata.org/entity/Q1516274,http://commons.wikimedia.org/data/main/Data:Avignon+Roman+Wall.map
http://www.wikidata.org/entity/Q2664240,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis286.map
http://www.wikidata.org/entity/Q4230301,http://commons.wikimedia.org/data/main/Data:Komsomolskoe+chaussee,+Tolyatti.map
http://www.wikidata.org/entity/Q6750626,http://commons.wikimedia.org/data/main/Data:Manly+ferry+wharf.map
http://www.wikidata.org/entity/Q11901752,http://commons.wikimedia.org/data/main/Data:Rky/1964_Visavuoren_taiteilijakoti_ja_ateljee.map
